step,layer,hops,path_mass,route_divergence,relation_residual,relation_shuffled,relation_coverage,sources
126,31,1,0.04523473,,0.22919853031635284,0.24116946756839752,1.0,"[[120, "" the"", 0.0037208888679742813], [189, ""Mesh"", 0.0027872081845998764], [163, "" Star"", 0.001923687756061554]]"
127,31,1,0.06880349,,0.1777905970811844,0.19876612722873688,1.0,"[[120, "" the"", 0.005973450839519501], [163, "" Star"", 0.0054229795932769775], [189, ""Mesh"", 0.005060769617557526]]"
128,31,1,0.049244143,,0.40801626443862915,0.4350704550743103,1.0,"[[163, "" Star"", 0.0039016511291265488], [189, ""Mesh"", 0.0029024798423051834], [120, "" the"", 0.002496039494872093]]"
129,31,1,0.056410335,,0.26594969630241394,0.28283461928367615,1.0,"[[189, ""Mesh"", 0.0035212039947509766], [163, "" Star"", 0.002775447443127632], [247, "" WAN"", 0.001772204414010048]]"
130,31,1,0.07865588,,0.3283509612083435,0.3484794497489929,1.0,"[[189, ""Mesh"", 0.005278952419757843], [163, "" Star"", 0.00425921194255352], [120, "" the"", 0.003639157861471176]]"
131,31,1,0.057517886,,0.23608626425266266,0.2561567425727844,1.0,"[[68, "" Bus"", 0.0028415992856025696], [147, "" topology"", 0.0025623589754104614], [189, ""Mesh"", 0.00183795765042305]]"
132,31,1,0.05639331,,0.3102208077907562,0.3224915862083435,1.0,"[[147, "" topology"", 0.002772899344563484], [138, ""leshoot"", 0.0013319812715053558], [158, "" covering"", 0.0012344475835561752]]"
133,31,1,0.060153723,,0.273197740316391,0.2805677652359009,1.0,"[[161, "" building"", 0.0030872896313667297], [247, "" WAN"", 0.002386748790740967], [151, "" for"", 0.001997031271457672]]"
134,31,1,0.06391811,,0.25614121556282043,0.2628447711467743,1.0,"[[161, "" building"", 0.007763208821415901], [152, "" large"", 0.00296575203537941], [153, "" networks"", 0.002626124769449234]]"
135,31,1,0.037834827,,0.20958690345287323,0.22196869552135468,1.0,"[[189, ""Mesh"", 0.001176031306385994], [138, ""leshoot"", 0.0011268667876720428], [158, "" covering"", 0.001052534207701683]]"
136,31,1,0.06277218,,0.34961095452308655,0.36649930477142334,1.0,"[[189, ""Mesh"", 0.004282064735889435], [163, "" Star"", 0.003543281927704811], [247, "" WAN"", 0.0031704846769571304]]"
137,31,1,0.059485972,,0.37802642583847046,0.3904760479927063,1.0,"[[247, "" WAN"", 0.003893692046403885], [189, ""Mesh"", 0.0024885982275009155], [163, "" Star"", 0.0023330654948949814]]"
138,31,1,0.07696598,,0.3442500829696655,0.3584291636943817,1.0,"[[247, "" WAN"", 0.005912648513913155], [189, ""Mesh"", 0.004580508917570114], [143, "","", 0.004211317747831345]]"
139,31,1,0.102573216,,0.34831535816192627,0.3595401346683502,1.0,"[[189, ""Mesh"", 0.0059425681829452515], [247, "" WAN"", 0.005143431946635246], [230, "" ring"", 0.00499504990875721]]"
140,31,1,0.054421395,,0.27202558517456055,0.2849547564983368,1.0,"[[247, "" WAN"", 0.003739040344953537], [255, "" employ"", 0.002903912216424942], [158, "" covering"", 0.001676410436630249]]"
141,31,1,0.045963824,,0.39173173904418945,0.40197017788887024,1.0,"[[255, "" employ"", 0.0032540690153837204], [247, "" WAN"", 0.0023194942623376846], [189, ""Mesh"", 0.002103956416249275]]"
